품목별,값1,값2,값3
남성용 니트셔츠(니트원단 구입),86275,58586,63266
남성용 직물셔츠,758908,674884,734577
남자 및 소년용 내복 및 잠옷,31502,22468,11749
남자 및 소년용 바지,73162,65970,67596
남자 및 소년용 속옷,64212,61985,73140
남자 및 소년용 자켓 및 점퍼,822316,870584,839026
남자 및 소년용 정장,976027,881895,656133
남자 및 소년용 코트,23252,X,X
남자용 가죽의복,37466,34615,29940
남자용 구두(단화 포함),511073,383289,347797
남자용 셔츠(편직결합),135173,203193,213108
남자용 속옷 (편직결합),26657,18449,16240
남자용 스웨터(편직결합),81576,97500,61988
납석(채굴),21895,14481,14200
내비게이션,3296307,4308694,3195451
내연기관 부품(차량 및 항공기용 제외),1193628,1312589,1463658
