"포도주,샴페인",,,,9139,8532,8693,10693,10035,11454,11190,10888,11608,15679,26329,27972
복분자주,,,,61601,90015,70246,83142,34968,45003,38402,29680,30386,37554,20897,29124
기타발효주,44327,68769,88357,22418,6431,7207,7813,7171,...,...,X,14555,16968,29717,33854
주정,281750,300120,394444,408204,429182,460355,403133,433541,433348,462891,468676,437860,413210,490870,491668
소주,,1268598,1299809,1477892,1610028,1475720,1412542,1504920,1585564,1698837,1824071,1835334,1833855,2095017,1732916
위스키,256201,234842,239257,236607,247808,189484,126489,110454,128727,136419,158874,177733,211072,X,131357
매실주,41094,52618,36562,48261,28018,36293,...,...,...,...,X,X,X,X,X
기타증류주및합성주,,,,7199,16721,10322,33182,31958,40764,51723,82790,38760,22074,13681,46791
얼음,39090,38990,36640,30463,27886,27088,30422,...,49340,43844,59539,80854,93915,87429,104643
생수,193293,190137,211481,238942,281625,310351,447594,482134,501720,583095,727238,761658,863362,892251,894653
콜라,411835,,,293311,423979,391504,580946,246772,420268,443491,498093,521935,630299,706510,1020941
사이다,380693,,,362344,495999,411497,302355,510097,500303,590093,225883,320415,365767,509842,788395
기타탄산음료,,,,300607,234804,281864,316721,358253,373437,382268,636068,620579,550893,652407,641757
알카리성이온음료,202915,167038,158747,88241,299340,86573,108197,164631,208945,213631,132429,111949,125741,110238,87910
식물성섬유음료,96188,114599,73795,132818,41889,48566,88826,117692,92846,102821,93298,103731,136467,140121,139307
인삼음료,14350,36860,117947,155114,135979,167594,184951,178610,200951,222783,398414,455666,580683,459186,521865
과실음료,,,,848388,775084,710651,692763,1012077,898494,866804,927452,946694,817773,673546,799930
채소음료,,,,25245,58138,23635,24020,31448,27165,29525,15902,34945,48583,40614,135588
커피음료,122870,193095,187000,247981,305630,336117,495553,614230,795906,849048,969789,1008830,1009939,880616,810522
두유,319279,289934,248296,194921,274964,192687,352053,439281,407571,366810,385308,407078,398986,401465,424380
기타비알콜성음료,148353,311010,299256,505384,540608,700215,1035642,1352778,796570,831229,1058521,969034,963709,1163191,971828
담배제조업,3730190,4370947,2887347,2909219,3181707,3311584,3032240,3385666,3194687,3415071,3762860,3802582,3570472,3693989,3516743
담배잎(재건조),,,,...,...,...,...,...,...,...,X,X,X,X,X
담배,,3840474,2451834,2660428,...,...,2893681,...,...,3220328,3471144,3517804,3227144,3244623,3041284
